lon	lat	2040_RCP45	2040_RCP85	2070_RCP45	2070_RCP85	2100_RCP45	2100_RCP85
12,56013966	35,52067947	0	0,066666667	0	0,166666667	0,033333333	1,5
12,00601196	36,75085831	10,76666667	13,4	26,03333333	34,16666667	32,3	62,7
12,00847244	36,82233429	1,333333333	0,733333333	2,466666667	5,6	4,733333333	23,13333333
14,70018387	36,72297287	11,33333333	12,4	29,13333333	38,96666667	37,5	71,76666667
14,78685951	36,71844482	13,4	14,6	32,2	42,7	40,13333333	71,73333333
14,96017551	36,70913696	13,43333333	16,96666667	33,56666667	44,66666667	41,16666667	70,83333333
15,04681587	36,70436096	14,06666667	18,13333333	33,26666667	45,13333333	41,13333333	70,2
14,532341	36,80314636	12,1	14,76666667	30,3	40,96666667	38,9	74,03333333
14,61914635	36,79877853	11,73333333	13,5	30,4	39,83333333	38,2	71,86666667
14,70593929	36,79432678	12,3	14,06666667	30,76666667	41,1	37,86666667	67,56666667
14,79272079	36,78979111	12,16666667	13,7	31,23333333	41,3	37,9	66,06666667
14,87949085	36,78517151	12,7	15,16666667	30,9	41,7	38,63333333	63,36666667
14,96624851	36,7804718	12,5	15,36666667	31,36666667	40,86666667	37,8	61,33333333
15,05299282	36,77568817	13,36666667	15,93333333	30,16666667	40,8	37,2	61,03333333
14,45097351	36,87879944	13,16666667	15,03333333	31,76666667	42	41,73333333	73,73333333
14,53789616	36,8745079	13,5	14,76666667	32,1	42,5	40,03333333	70,96666667
14,6248064	36,87013245	11,53333333	12,96666667	30,46666667	40,1	37,3	67,53333333
14,71170616	36,86567688	11,16666667	12,4	30,56666667	39,43333333	36	65,63333333
14,79859352	36,86113739	11,73333333	12,9	30,33333333	40,46666667	36	63,7
14,88546848	36,85651398	12,03333333	14,03333333	30,43333333	40,56666667	37,16666667	61,63333333
14,972332	36,85180664	11,16666667	13,7	30,16666667	39,06666667	35,96666667	58,86666667
15,05918217	36,8470192	11,3	14,86666667	28,53333333	38,73333333	35,13333333	58,93333333
14,45643234	36,95016861	13,3	15,7	33,43333333	43,06666667	41,66666667	70,26666667
14,54346085	36,94586945	13,4	14,23333333	32,53333333	41,46666667	39,7	66,96666667
14,63047791	36,94149017	12,1	11,93333333	30,23333333	38,46666667	36,33333333	66,23333333
14,71748257	36,93702698	12,13333333	12,7	31,4	39,8	35,76666667	64,83333333
14,80447578	36,93247986	12,4	13,46666667	30,4	39,96666667	35,4	63,43333333
14,89145756	36,92785263	11,76666667	13,56666667	28,93333333	38,3	34,7	60,46666667
14,97842693	36,92314148	12,1	13,33333333	30,4	38,86666667	34,96666667	59,9
15,06538296	36,91834641	12,3	13,5	28,9	38,86666667	35,16666667	58,8
15,15232658	36,91346741	12,13333333	15,36666667	29,76666667	41,1	36,73333333	63,96666667
14,37475586	37,02575302	12,83333333	15,63333333	33,5	43,23333333	41,53333333	69,46666667
14,46190166	37,02153397	12,7	14,2	32,53333333	42,3	40,43333333	66,96666667
14,54903603	37,01723099	12,43333333	14,06666667	32,16666667	40,96666667	39,33333333	65,33333333
14,6361599	37,01284409	11,9	12,53333333	31,26666667	40,2	37,3	64,53333333
14,72327042	37,00837708	12,83333333	12,1	31,93333333	39,76666667	36,46666667	65,36666667
14,81037045	37,00382614	14,1	14,43333333	32,06666667	40,63333333	36,5	64,86666667
14,89745808	36,99919128	11,86666667	12,76666667	28,7	38,43333333	34,8	61,9
14,98453236	36,9944725	11,06666667	12,46666667	29,3	38	33,7	59,36666667
