lon	lat	2011-2040_PRCPTOT JJA (mm)_RCP45	2011-2040_PRCPTOT JJA (mm)_RCP85	2011-2040_TX30 (days)_RCP45	2011-2040_TX30 (days)_RCP85	2011-2040_PR95PERC (%)_RCP45	2011-2040_PR95PERC (%)_RCP85	2041-2070_PRCPTOT JJA (mm)_RCP45	2041-2070_PRCPTOT JJA (mm)_RCP85	2041-2070_TX30 (days)_RCP45	2041-2070_TX30 (days)_RCP85	2041-2070_PR95PERC (%)_RCP45	2041-2070_PR95PERC (%)_RCP85	2071-2100_PRCPTOT JJA (mm)_RCP45	2071-2100_PRCPTOT JJA (mm)_RCP85	2071-2100_TX30 (days)_RCP45	2071-2100_TX30 (days)_RCP85	2071-2100_PR95PERC (%)_RCP45	2071-2100_PR95PERC (%)_RCP85
12,5601	35,5207	-4	1	0	0	11	-1	-3	-4	0	0	25	9	1	-5	0	2	14	20
12,0060	36,7509	-7	-3	11	13	17	5	-10	-10	26	34	25	3	-8	-11	32	63	20	37
12,0085	36,8223	-7	-4	1	1	16	2	-9	-9	2	6	13	-1	-7	-11	5	23	9	22
14,7002	36,7230	0	-1	11	12	9	14	-6	-5	29	39	11	5	-4	-8	38	72	19	55
14,7869	36,7184	-1	0	13	15	2	16	-4	-3	32	43	7	5	-3	-7	40	72	16	37
14,9602	36,7091	0	0	13	17	19	14	-4	-3	34	45	6	15	-2	-6	41	71	20	32
15,0468	36,7044	0	1	14	18	27	16	-4	-3	33	45	19	23	-2	-5	41	70	27	29
14,5323	36,8031	-4	-1	12	15	9	20	-8	-6	30	41	3	14	-6	-9	39	74	19	37
14,6191	36,7988	0	-1	12	14	6	17	-8	-7	30	40	3	15	-6	-10	38	72	15	35
14,7059	36,7943	-2	2	12	14	4	12	-7	-7	31	41	12	13	-5	-10	38	68	18	59
14,7927	36,7898	-2	0	12	14	5	12	-6	-6	31	41	13	-2	-4	-10	38	66	26	63
14,8795	36,7852	-1	0	13	15	11	7	-6	-4	31	42	10	3	-4	-9	39	63	28	44
14,9662	36,7805	0	-1	13	15	6	6	-6	-5	31	41	8	7	-3	-8	38	61	24	38
15,0530	36,7757	0	-1	13	16	25	17	-6	-5	30	41	9	12	-4	-8	37	61	28	34
14,4510	36,8788	-1	0	13	15	15	22	-6	-4	32	42	8	14	-2	-6	42	74	7	42
14,5379	36,8745	-1	0	14	15	4	10	-9	-7	32	43	2	8	-6	-9	40	71	12	24
14,6248	36,8701	-2	-1	12	13	8	13	-9	-8	30	40	-4	6	-6	-11	37	68	14	24
14,7117	36,8657	-4	-1	11	12	3	7	-7	-8	31	39	2	3	-7	-11	36	66	12	46
14,7986	36,8611	-4	-1	12	13	2	11	-7	-7	30	40	4	-1	-5	-11	36	64	16	58
14,8855	36,8565	-3	-1	12	14	6	10	-7	-6	30	41	10	2	-5	-11	37	62	24	59
14,9723	36,8518	-2	-2	11	14	8	6	-7	-5	30	39	0	-1	-3	-9	36	59	21	57
15,0592	36,8470	-1	-1	11	15	11	5	-6	-5	29	39	3	2	-3	-8	35	59	21	40
14,4564	36,9502	0	3	13	16	9	8	-4	-2	33	43	12	14	0	-5	42	70	9	46
14,5435	36,9459	-2	3	13	14	12	13	-7	-6	33	41	9	13	-3	-8	40	67	16	36
14,6305	36,9415	-3	5	12	12	5	9	-8	-8	30	38	0	7	-5	-11	36	66	14	33
14,7175	36,9370	-4	0	12	13	6	0	-7	-8	31	40	-6	-1	-5	-12	36	65	10	36
14,8045	36,9325	-4	1	12	13	5	-1	-6	-6	30	40	-2	-2	-5	-11	35	63	21	46
14,8915	36,9279	-4	0	12	14	3	8	-8	-6	29	38	-6	-2	-6	-12	35	60	14	45
14,9784	36,9231	-4	-1	12	13	15	12	-7	-5	30	39	4	4	-2	-10	35	60	21	57
15,0654	36,9183	-2	-2	12	14	17	4	-7	-5	29	39	5	-3	-3	-10	35	59	21	48
15,1523	36,9135	-1	-1	12	15	12	14	-7	-4	30	41	7	18	-1	-8	37	64	19	32
14,3748	37,0258	-1	3	13	16	13	18	-4	-1	34	43	12	16	-2	-5	42	69	14	56
14,4619	37,0215	-2	5	13	14	11	9	-5	-2	33	42	12	10	-3	-6	40	67	8	45
14,5490	37,0172	-2	5	12	14	5	10	-7	-5	32	41	6	1	-4	-8	39	65	4	36
14,6362	37,0128	-3	2	12	13	11	14	-8	-7	31	40	0	4	-5	-11	37	65	10	27
14,7233	37,0084	-4	1	13	12	5	4	-7	-7	32	40	-7	-5	-6	-12	36	65	8	26
14,8104	37,0038	-3	2	14	14	5	4	-7	-5	32	41	-3	-1	-5	-11	37	65	14	41
14,8975	36,9992	-3	4	12	13	2	15	-6	-4	29	38	3	-2	-3	-10	35	62	14	51
14,9845	36,9945	-4	0	11	12	-1	12	-7	-5	29	38	-1	-5	-1	-12	34	59	18	44
15,0716	36,9897	-4	-2	10	13	19	15	-9	-5	29	38	8	4	-3	-12	33	58	10	50
15,1586	36,9848	-3	-1	12	14	10	7	-8	-4	30	41	14	8	-1	-9	36	61	15	35
